state,NRA.Grand.Total.Supporting,NRA.Grand.Total.Opposing
Alabama,399197,-74830
Alaska,396505,0
Arizona,425062,-319855
Arkansas,3182795,0
California,214295,-285808
Colorado,4865120,-935216
Connecticut,0,-181011
Delaware,0,-97616
Florida,3542202,-111412
Georgia,2144458,-1635
Hawaii,0,-743
Idaho,465098,0
Illinois,191089,-71872
Indiana,4245190,-864
Iowa,3410355,-148999
Kansas,1712474,-13388
Kentucky,1504727,-4018
Louisiana,3142993,-12536
Maine,18099,-180796
Maryland,27447,-6614
Massachusetts,555,-41739
Michigan,186994,-984050
Minnesota,286298,-191892
Mississippi,228109,-640
Missouri,6143256,-933
Montana,489678,-734499
Nebraska,163310,0
Nevada,22682,-2712765
New Jersey,0,-73405
New Mexico,3500,-82256
New York,167473,-145700
North Carolina,11789724,-898
North Dakota,39827,0
Ohio,3569434,-1156830
Oklahoma,205293,-5904
Oregon,59633,-112595
Pennsylvania,1799798,-386266
Rhode Island,0,-1350
South Carolina,135064,-15497
South Dakota,750978,0
Tennessee,1372506,0
Texas,650742,-158009
Utah,13691980,-10956
Vermont,8476,0
Virginia,115492,-1290875
Washington,152540,-1001968
West Virginia,388360,-459700
Wisconsin,1385505,-771863
Wyoming,57661,0
New Hampshire,0,-734351
